Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,Mean
02:23.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:24.6,9.9918,0.27816,0.25864,0.42944,3.55508,2.902624,0,,0,9.71364,9.73316,9.56236,6.43672,7.089176
02:25.6,3.66976,2.31556,0.42944,8.49852,9.9918,4.981016,0,,6.32204,7.67624,9.56236,1.49328,0,5.010784
02:26.6,9.9918,0.46848,9.9918,0.59048,3.24276,4.857064,0,,0,9.52332,0,9.40132,6.74904,5.134736
02:27.6,3.38184,0.66612,0.28548,1.20048,9.9918,3.105144,0,,6.60996,9.32568,9.70632,8.79132,0,6.886656
02:28.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:29.6,2.99632,1.21024,0.34648,0.7808,6.57336,2.38144,0,,6.99548,8.78156,9.64532,9.211,3.41844,7.61036
02:30.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:31.6,9.9918,0.11712,0.38796,0.1098,0.97356,2.316048,0,,0,9.87468,9.60384,9.882,9.01824,7.675752
02:32.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:33.6,9.9918,0.20252,0.27084,0.28792,1.88612,2.52784,0,,0,9.78928,9.72096,9.70388,8.10568,7.46396
02:34.6,3.98208,9.9918,0.7076,9.9918,9.9918,6.933016,0,,6.00972,0,9.2842,0,0,3.058784
02:35.6,9.9918,9.9918,9.9918,4.46764,8.86452,8.661512,0,,0,0,0,5.52416,1.12728,1.330288
02:36.6,3.40136,9.9918,0.366,9.9918,9.9918,6.748552,0,,6.59044,0,9.6258,0,0,3.243248
02:37.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:38.6,3.38916,0.4636,0.21228,0.915,9.9918,2.994368,0,,6.60264,9.5282,9.77952,9.0768,0,6.997432
02:39.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:40.7,3.31596,1.01748,0.22448,1.90808,9.9918,3.29156,0,,6.67584,8.97432,9.76732,8.08372,0,6.70024
02:41.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:42.6,3.32084,0.88328,0.27084,2.16184,9.9918,3.32572,0,,6.67096,9.10852,9.72096,7.82996,0,6.66608
02:43.7,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:44.7,3.03048,0.37332,0.21228,0.42456,4.3066,1.669448,0,,6.96132,9.61848,9.77952,9.56724,5.6852,8.322352
02:45.6,4.83852,9.9918,1.21024,9.9918,9.9918,7.204832,0,,5.15328,0,8.78156,0,0,2.786968
02:46.6,3.36476,0.90036,0.15616,3.78688,9.9918,3.639992,0,,6.62704,9.09144,9.83564,6.20492,0,6.351808
02:47.6,3.41356,2.09352,0.35136,2.2204,9.9918,3.614128,0,,6.57824,7.89828,9.64044,7.7714,0,6.377672
02:48.7,9.9918,0.50508,9.9918,1.67872,6.94912,5.823304,0,,0,9.48672,0,8.31308,3.04268,4.168496
02:49.7,3.94304,0.18788,0.22448,0.44652,4.33344,1.827072,0,,6.04876,9.80392,9.76732,9.54528,5.65836,8.164728
02:50.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:51.6,3.47456,0.4514,0.21228,1.07848,9.9918,3.041704,0,,6.51724,9.5404,9.77952,8.91332,0,6.950096
02:52.7,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:53.6,9.9918,0.1098,0.15372,0.43676,3.78688,2.895792,0,,0,9.882,9.83808,9.55504,6.20492,7.096008
02:54.7,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:55.7,9.9918,0.12688,0.23668,0.32452,2.18624,2.573224,0,,0,9.86492,9.75512,9.66728,7.80556,7.418576
02:56.7,3.78688,9.9918,0.5856,9.9918,9.9918,6.869576,0,,6.20492,0,9.4062,0,0,3.122224
02:57.7,9.9918,7.87876,9.9918,9.9918,9.9918,9.569192,0,,0,2.11304,0,0,0,0.422608
02:58.7,2.81576,0.40748,0.27084,0.50996,1.00772,1.002352,0,,7.17604,9.58432,9.72096,9.48184,8.98408,8.989448
02:59.7,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
03:00.7,3.24764,0.26352,0.23424,0.38796,6.23908,2.074488,0,,6.74416,9.72828,9.75756,9.60384,3.75272,7.917312
03:01.7,5.48268,9.9918,9.9918,9.9918,9.9918,9.089976,0,,4.50912,0,0,0,0,0.901824
